DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,GOOGLE2019,GOOGLE2010,GOOGLE2001
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,
CAMERA INFORMATION,DEVICE INFO,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,GOOGLE,GOOGLE,
CONTACTS' INFORMATION,PERSONAL DATA,THIRD PARTY,THIRD PARTY,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,ADVERTISING,ADVERTISING,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,ANALYTICS,ANALYTICS,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,GOOGLE,GOOGLE,
CONTENT CREATED/UPLOADED,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,GOOGLE,GOOGLE,
