DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,GOOGLE2019,GOOGLE2010,YEARS,GOOGLECONCRETETEXT,GOOGLEFOREXAMPLE,USERCONTROLGOOGLE,DOWNLOADABLEGOOGLE,ERASABLEGOOGLE
FEATURES USE,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
USE OF OTHER PLATFORMS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
PRODUCT USE,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information we collect, like your email address, to interact with you directly. For example, we may send you a notification if we detect suspicious activity, like an attempt to sign in to your Google Account from an unusual location.","If you have directly communicated with Google, through a customer support channel, feedback form, or a bug report, Google may retain reasonable records of those communications.",No,No,No
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",No,No,No
PAYMENT CARD INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We may also use payment information to verify that you meet age requirements, if, for example, you enter an incorrect birthday indicating you’re not old enough to have a Google Account.",,No,No,No
NON-PERSONAL DATA,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","We may also collect information about you from trusted partners, including marketing partners who provide us with information about potential customers of our business services, and security partners who provide us with information to protect against abuse. We also receive information from advertisers to provide advertising and research services on their behalf.",No,No,No
NETWORK INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number.",No,No,No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
NAME,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you create a Google Account, you provide us with personal information that includes your name and a password. ",No,Yes,No
LOGIN INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
LOCATION HISTORY,LOCATION FROM DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,Partial,No
IP ADDRESS,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
FILE INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","We also collect the content you create, upload, or receive from others when using our services. This includes things like email you write and receive, photos and videos you save, docs and spreadsheets you create, and comments you make on YouTube videos.",No,Yes,No
DEVICE SIGNALS,DEVICE SIGNALS,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","If you use Google’s Location services, your device sends information to Google about its location, sensors (like accelerometer), and nearby cell towers and Wi-Fi access points (like MAC address and signal strength). All these things help to determine your location.",No,No,No
DEVICE SETTINGS,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number. We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,No
DEVICE INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
DEVICE IDENTIFIERS,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The information we collect includes unique identifiers, browser type and settings, device type and settings, operating system, mobile network information including carrier name and phone number, and application version number.",No,No,No
DEMOGRAPHICS,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",,No,No,No
DATE OF BIRTH,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you sign up for a Google Account, you provide us with personal information. If you are signed in, we collect and protect information you create when using our services. This can include: Your name, birthday, and gender",Yes,No,No
CURRENT LOCATION,LOCATION FROM DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,Partial,No
CONTACTS' INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","If you add your phone number to your account, it can be used for different purposes across Google services, depending on your settings. For example, your phone number can be used to help you access your account if you forget your password, help people find and connect with you, and make the ads you see more relevant to you. ",No,Yes,No
CAMERA INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","Android devices with Google apps include devices sold by Google or one of our partners and include phones, cameras, vehicles, wearables, and televisions. These devices use Google Play Services and other pre-installed apps that include services like Gmail, Maps, your phone’s camera and phone dialer, text-to-speech conversion, keyboard input, and security features.",Partial,No,No
CALL/MESSAGE METADATA,BEHAVIOR ON DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement. ","If you use our services to make and receive calls or send and receive messages, we may collect telephony log information like your phone number, calling-party number, receiving-party number, forwarding numbers, time and date of calls and messages, duration of calls, routing information, and types of calls.",No,No,No
BIOMETRICS,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",Only used for login on Pixel 4,Yes,No,No
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,No,No
APP INFORMATION,BEHAVIOR ON DEVICE,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","We also collect information about the interaction of your apps, browsers, and devices with our services, including IP address, crash reports, system activity, and the date, time, and referrer URL of your request.",No,No,No
ACCOUNT INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,2019,2010,"2019,2010","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",No,Partial,No
SEARCHES,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,,2010,2010,"We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","For example, when you’re signed in to your Google Account and have the Web & App Activity control enabled, you can get more relevant search results that are based on your previous searches and activity from other Google services. You can learn more here. You may also get customized search results even when you’re signed out. ",No,Partial,No
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,,2010,2010,,,,,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,,2010,2010,,,,,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,,2010,2010,,,,,
BIOMETRICS,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,,2010,2010,,,,,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,,2010,2010,,,,,
NAME,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,,2010,2010,"The “last account activity” feature in Gmail can help you find out if and when someone accessed your email without your knowledge. This feature shows you information about recent activity in Gmail, such as the IP addresses that accessed your mail, the associated location, and the date and time of access.",,,,
FILE INFORMATION,DEVICE INFO,LOCATION-BASED SERVICES,OPERATIONS,,2010,2010,,,,,
DATE OF BIRTH,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,,2010,2010,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,,2010,2010,,,,,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,,2010,2010,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,,2010,2010,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,,2010,2010,,,,,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,,2010,2010,,,,,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,,2010,2010,,,,,
CONTENT CREATED/UPLOADED,PRODUCT USE,ANY PURPOSE,ANY PURPOSE,,2010,2010,,,,,
PRODUCT USE,PRODUCT USE,ANY PURPOSE,ANY PURPOSE,,2010,2010,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,,2010,2010,,,,,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,,2010,2010,,,,,
BIOMETRICS,PERSONAL DATA,ANALYTICS,ANALYTICS,,2010,2010,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,,2010,2010,,,,,
PHOTOS,PERSONAL DATA,ADVERTISING,ADVERTISING,,2010,2010,,,,,
PAYMENT CARD INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,,2010,2010,,,,,
FILE INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,,2010,2010,,,,,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,,2010,2010,,,,,
CONTACTS' INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,,2010,2010,,,,,
CAMERA INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,,2010,2010,,,,,
PHOTOS,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,,2010,2010,,,,,
FAMILY MEMBERS' INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,,2010,2010,,,,,
SOCIAL SECURITY NUMBER,PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,,2019,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume.... The information that we collect, including information obtained from third parties, is shared with our affiliates, meaning other companies owned and controlled by Google LLC.",No,No,Unknown
DRIVER'S LICENSE NUMBER,PERSONAL DATA,THIRD PARTY,THIRD PARTY,2019,,2019,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.","When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume.... The information that we collect, including information obtained from third parties, is shared with our affiliates, meaning other companies owned and controlled by Google LLC.",Partial,No,Unknown
SOCIAL SECURITY NUMBER,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,2019,,2019,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help us with customer support.","When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume.... The information that we collect, including information obtained from third parties, is shared with our affiliates, meaning other companies owned and controlled by Google LLC.",No,No,Unknown
DRIVER'S LICENSE NUMBER,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,2019,,2019,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help us with customer support.","When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume.... The information that we collect, including information obtained from third parties, is shared with our affiliates, meaning other companies owned and controlled by Google LLC.",Partial,No,Unknown
CREDIT HISTORY,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,2019,,2019,"We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help us with customer support.",,No,No,No
SOCIAL SECURITY NUMBER,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,2019,,2019,We use the information we collect in existing services to help us develop new ones.,,No,No,Unknown
DRIVER'S LICENSE NUMBER,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,2019,,2019,We use the information we collect in existing services to help us develop new ones.,"When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume.... The information that we collect, including information obtained from third parties, is shared with our affiliates, meaning other companies owned and controlled by Google LLC.",Partial,No,Unknown
CREDIT HISTORY,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,2019,,2019,We use the information we collect in existing services to help us develop new ones.,"We may obtain information about you from third parties, including third-party verification services. This includes information arising from Google Payments transactions at merchant locations, information regarding your use of payment methods and your accounts issued by third parties that are linked to Google Payments, the identity of your card issuer or financial institution, information regarding access to balances held in your Google Payments Account, information from a Carrier or Operator in connection with Carrier or Operator Billing, and consumer reports, as the term 'consumer reports' is defined by the US Fair Credit Reporting Act.",No,No,No
SOCIAL SECURITY NUMBER,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,2019,,2019,"We use your information to deliver our services, like processing the terms you search for in order to return results or helping you share content by suggesting recipients from your contacts.","When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume.... The information that we collect, including information obtained from third parties, is shared with our affiliates, meaning other companies owned and controlled by Google LLC.",Partial,No,Unknown
DRIVER'S LICENSE NUMBER,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,2019,,2019,"We use your information to deliver our services, like processing the terms you search for in order to return results or helping you share content by suggesting recipients from your contacts.","When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume.... The information that we collect, including information obtained from third parties, is shared with our affiliates, meaning other companies owned and controlled by Google LLC.",Partial,No,Unknown
CREDIT HISTORY,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,2019,,2019,"In addition to the uses listed in the Google Privacy Policy, we use the information that you provide to us and to GPC or another of our subsidiaries, as well as information about you from third parties, in order to provide you with Google Payments for customer service purposes, and to prevent harm to the rights, property or safety of Google, our users or the public, including to help prevent fraud, phishing or other misconduct. ","We may obtain information about you from third parties, including third-party verification services. This includes information arising from Google Payments transactions at merchant locations, information regarding your use of payment methods and your accounts issued by third parties that are linked to Google Payments, the identity of your card issuer or financial institution, information regarding access to balances held in your Google Payments Account, information from a Carrier or Operator in connection with Carrier or Operator Billing, and consumer reports, as the term 'consumer reports' is defined by the US Fair Credit Reporting Act.",Yes,No,No
SOCIAL SECURITY NUMBER,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,2019,,2019,"We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume.... The information that we collect, including information obtained from third parties, is shared with our affiliates, meaning other companies owned and controlled by Google LLC.",Partial,No,No
DRIVER'S LICENSE NUMBER,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,2019,,2019,"We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume.... The information that we collect, including information obtained from third parties, is shared with our affiliates, meaning other companies owned and controlled by Google LLC.",Partial,No,No
CREDIT HISTORY,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,2019,,2019,"In addition to the uses listed in the Google Privacy Policy, we use the information that you provide to us and to GPC or another of our subsidiaries, as well as information about you from third parties, in order to provide you with Google Payments for customer service purposes, and to prevent harm to the rights, property or safety of Google, our users or the public, including to help prevent fraud, phishing or other misconduct.","We may obtain information about you from third parties, including third-party verification services. This includes information arising from Google Payments transactions at merchant locations, information regarding your use of payment methods and your accounts issued by third parties that are linked to Google Payments, the identity of your card issuer or financial institution, information regarding access to balances held in your Google Payments Account, information from a Carrier or Operator in connection with Carrier or Operator Billing, and consumer reports, as the term 'consumer reports' is defined by the US Fair Credit Reporting Act.",No,No,No
SOCIAL SECURITY NUMBER,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,,2019,"We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume.... The information that we collect, including information obtained from third parties, is shared with our affiliates, meaning other companies owned and controlled by Google LLC.",Partial,No,No
DRIVER'S LICENSE NUMBER,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,,2019,"We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.","When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume.... The information that we collect, including information obtained from third parties, is shared with our affiliates, meaning other companies owned and controlled by Google LLC.",Partial,No,No
CREDIT HISTORY,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,2019,,2019,"In addition to the uses listed in the Google Privacy Policy, we use the information that you provide to us and to GPC or another of our subsidiaries, as well as information about you from third parties, in order to provide you with Google Payments for customer service purposes, and to prevent harm to the rights, property or safety of Google, our users or the public, including to help prevent fraud, phishing or other misconduct.","We may obtain information about you from third parties, including third-party verification services. This includes information arising from Google Payments transactions at merchant locations, information regarding your use of payment methods and your accounts issued by third parties that are linked to Google Payments, the identity of your card issuer or financial institution, information regarding access to balances held in your Google Payments Account, information from a Carrier or Operator in connection with Carrier or Operator Billing, and consumer reports, as the term 'consumer reports' is defined by the US Fair Credit Reporting Act.",No,No,No
SOCIAL SECURITY NUMBER,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,2019,,2019,"If you don't want us to share personal information about your creditworthiness between GPC and its affiliates, or if you do not want our affiliates to use your personal information collected by us and shared with them to market to you, or if you do not want Google LLC or its affiliates to inform a third-party merchant, whose site or app you visit, whether you have a Google Payments account that can be used for payment to that merchant, please indicate your preference by logging in to your account, going to the Google Payments privacy settings page and updating your preferences.","When you sign up for Google Payments, you are creating a Google Payments Account that is associated with your Google Account. Depending on the Google Payments services that you use, in addition to the information listed in the Google Privacy Policy, you may be asked to provide the following information: Credit or debit card number and card expiry date, bank account number and expiry date, address, phone number, date of birth, social security number or taxpayer identification number (or some other government-issued identification number), and for sellers or businesses specifically, your business category and certain information about your sales or transaction volume.... The information that we collect, including information obtained from third parties, is shared with our affiliates, meaning other companies owned and controlled by Google LLC.",Yes,No,Unknown
CREDIT HISTORY,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,2019,,2019,"We provide you with the right to opt out of certain sharing between GPC and its affiliates. Specifically, you may choose to opt out of: Sharing between GPC and its affiliates of information about your creditworthiness for their everyday business purposes; and/or, Our affiliates marketing their products or services to you based on your personal information that we collect and share with them. This information includes your account history with us.",,Yes,No,No
