DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,IN_NODES,IN_NODES,APPLE_CONCRETE_TEXT,APPLE_FOR_EXAMPLE,Facebook Concrete text,Facebook For Example,AMAZON_CONCRETE_TEXT,AMAZON_FOR_EXAMPLE,GOOGLE_CONCRETE_TEXT,GOOGLE_FOR_EXAMPLE,UserControlFacebook,USER_CONTROL_GOOGLE,DOWNLOADABLE_AMAZON,DOWNLOADABLE_APPLE,DownloadableFacebook,DOWNLOADABLE_GOOGLE,ERASABLE_AMAZON,ERASABLE_APPLE,ErasableFacebook,ERASABLE_GOOGLE
PUBLIC DATA,NON-PERSONAL DATA,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",58,14,,,,,,,,,,,,,,,,,,
PURCHASE HISTORY,NON-PERSONAL DATA,ANY PURPOSE,ANY PURPOSE,"AMAZON,FACEBOOK,GOOGLE",59,14,,,,,,,,,,,,,,,,,,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,ANY PURPOSE,ANY PURPOSE,"AMAZON,FACEBOOK,GOOGLE",60,14,,,,,,,,,,,,,,,,,,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,ANY PURPOSE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",61,14,,,,,,,,,,,,,,,,,,
ACCOUNT INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",28,15,,,,,,,,,,,,,,,,,,
APP INFORMATION,BEHAVIOR ON DEVICE,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",29,15,,,,,,,,,,,,,,,,,,
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",30,15,,,,,,,,,,,,,,,,,,
CAMERA INFORMATION,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,15,,,,,,,,,,,,,,,,,,
CONTACTS' INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,15,,,,,,,,,,,,,,,,,,
CURRENT LOCATION,LOCATION FROM DEVICE,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",36,15,,,,,,,,,,,,,,,,,,
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE",56,15,,,,,,,,,,,,,,,,,,
DATE OF BIRTH,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",37,15,,,,,,,,,,,,,,,,,,
DEMOGRAPHICS,NON-PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",38,15,,,,,,,,,,,,,,,,,,
DEVICE IDENTIFIERS,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",39,15,,,,,,,,,,,,,,,,,,
DEVICE INFORMATION,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",40,15,,,,,,,,,,,,,,,,,,
DEVICE SETTINGS,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",41,15,,,,,,,,,,,,,,,,,,
DEVICE SIGNALS,DEVICE SIGNALS,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",42,15,,,,,,,,,,,,,,,,,,
DRIVER'S LICENSE NUMBER,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,AMAZON,43,15,,,,,,,,,,,,,,,,,,
FILE INFORMATION,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,APPLE,45,15,,,,,,,,,,,,,,,,,,
IP ADDRESS,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",46,15,,,,,,,,,,,,,,,,,,
LOCATION HISTORY,LOCATION FROM DEVICE,COMPANY OPERATIONS,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",47,15,,,,,,,,,,,,,,,,,,
LOGIN INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,"APPLE,FACEBOOK,GOOGLE",48,15,,,,,,,,,,,,,,,,,,
