DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,IN_NODES,IN_NODES
DATE OF BIRTH,PERSONAL DATA,PRODUCT SAFETY,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,25
DATE OF BIRTH,PERSONAL DATA,PERSONALIZE PRODUCT,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,16
DATE OF BIRTH,PERSONAL DATA,PERSONALIZE CONTENT,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,15
DATE OF BIRTH,PERSONAL DATA,OTHER,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,11
DATE OF BIRTH,PERSONAL DATA,LOCATION-BASED SERVICES,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,18
DATE OF BIRTH,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,14
DATE OF BIRTH,PERSONAL DATA,IMPROVE PRODUCT,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,13
DATE OF BIRTH,PERSONAL DATA,COMPANY OPERATIONS,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,19
DATE OF BIRTH,PERSONAL DATA,ANYONE,ANY PURPOSE,"APPLE,FACEBOOK,GOOGLE",52,27
DATE OF BIRTH,PERSONAL DATA,ANY PURPOSE,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,17
DATE OF BIRTH,PERSONAL DATA,ANALYTICS,ADVERTISING,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,12
DATE OF BIRTH,PERSONAL DATA,ADVERTISING,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,10
DATE OF BIRTH,PERSONAL DATA,ACCOUNT SECURITY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",52,24
DEMOGRAPHICS,NON-PERSONAL DATA,THIRD PARTY,RESEARCH AND DEVELOPMENT,FACEBOOK,44,28
DEMOGRAPHICS,NON-PERSONAL DATA,PROVIDE SERVICES,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",44,20
DEMOGRAPHICS,NON-PERSONAL DATA,COMPANY OPERATIONS,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",44,19
DEMOGRAPHICS,NON-PERSONAL DATA,ANYONE,ANY PURPOSE,APPLE,44,27
DEMOGRAPHICS,NON-PERSONAL DATA,ACCOUNT SECURITY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",44,24
DEVICE IDENTIFIERS,DEVICE INFO,THIRD PARTY,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK",33,28
DEVICE IDENTIFIERS,DEVICE INFO,RESEARCH AND DEVELOPMENT,OPERATIONS,AMAZON,33,23
DEVICE IDENTIFIERS,DEVICE INFO,RECOGNIZE FACES,OPERATIONS,"AMAZON,APPLE",33,21
DEVICE IDENTIFIERS,DEVICE INFO,PROVIDE SERVICES,PROVIDE BUSINESS SERVICES,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,20
DEVICE IDENTIFIERS,DEVICE INFO,PROVIDE BUSINESS SERVICES,SAFETY AND SECURITY,AMAZON,33,22
DEVICE IDENTIFIERS,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,AMAZON,33,26
DEVICE IDENTIFIERS,DEVICE INFO,PRODUCT SAFETY,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE",33,25
DEVICE IDENTIFIERS,DEVICE INFO,PERSONALIZE PRODUCT,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE",33,16
DEVICE IDENTIFIERS,DEVICE INFO,PERSONALIZE CONTENT,ADVERTISING,"AMAZON,APPLE",33,15
DEVICE IDENTIFIERS,DEVICE INFO,OTHER,LOCATION-BASED SERVICES,"AMAZON,APPLE,GOOGLE",33,11
DEVICE IDENTIFIERS,DEVICE INFO,LOCATION-BASED SERVICES,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE",33,18
DEVICE IDENTIFIERS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE",33,14
DEVICE IDENTIFIERS,DEVICE INFO,IMPROVE PRODUCT,OPERATIONS,"AMAZON,APPLE",33,13
DEVICE IDENTIFIERS,DEVICE INFO,COMPANY OPERATIONS,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,19
DEVICE IDENTIFIERS,DEVICE INFO,ANYONE,ANY PURPOSE,"AMAZON,APPLE",33,27
DEVICE IDENTIFIERS,DEVICE INFO,ANY PURPOSE,ANALYTICS/DATA ANALYSIS,"AMAZON,FACEBOOK,GOOGLE",33,17
DEVICE IDENTIFIERS,DEVICE INFO,ANALYTICS,ADVERTISING,"AMAZON,APPLE",33,12
DEVICE IDENTIFIERS,DEVICE INFO,ADVERTISING,SAFETY AND SECURITY,"AMAZON,APPLE",33,10
DEVICE IDENTIFIERS,DEVICE INFO,ACCOUNT SECURITY,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",33,24
DEVICE INFO,DEVICE INFO,THIRD PARTY,RESEARCH AND DEVELOPMENT,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,28
DEVICE INFO,DEVICE INFO,RESEARCH AND DEVELOPMENT,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,23
DEVICE INFO,DEVICE INFO,RECOGNIZE FACES,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,21
DEVICE INFO,DEVICE INFO,PROVIDE SERVICES,PROVIDE BUSINESS SERVICES,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,20
DEVICE INFO,DEVICE INFO,PROVIDE BUSINESS SERVICES,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,22
DEVICE INFO,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,26
DEVICE INFO,DEVICE INFO,PRODUCT SAFETY,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,25
DEVICE INFO,DEVICE INFO,PERSONALIZE PRODUCT,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,16
DEVICE INFO,DEVICE INFO,PERSONALIZE CONTENT,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,15
DEVICE INFO,DEVICE INFO,OTHER,LOCATION-BASED SERVICES,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,11
DEVICE INFO,DEVICE INFO,LOCATION-BASED SERVICES,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,18
DEVICE INFO,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,14
DEVICE INFO,DEVICE INFO,IMPROVE PRODUCT,OPERATIONS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,13
DEVICE INFO,DEVICE INFO,COMPANY OPERATIONS,THIRD PARTY,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,19
DEVICE INFO,DEVICE INFO,ANYONE,ANY PURPOSE,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,27
DEVICE INFO,DEVICE INFO,ANY PURPOSE,ANALYTICS/DATA ANALYSIS,"AMAZON,APPLE,FACEBOOK,GOOGLE",34,17
