DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,COMPANIES,USERCONTROLFACEBOOK
DRIVER'S LICENSE NUMBER,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,
IP ADDRESS,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOCATION HISTORY,LOCATION FROM DEVICE,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOGIN INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NAME,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",No
NETWORK INFORMATION,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NON-PERSONAL DATA,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK",No
PAYMENT CARD INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,
PHOTOGRAPH FROM PROFILE,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PHOTOS,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,
PRODUCT USE,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PUBLIC DATA,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
PURCHASE HISTORY,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,
"SEARCHES (TERMS, RESULTS, HISTORY)",NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
SOCIAL SECURITY NUMBER,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,AMAZON,
USER'S CONTACT INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
ACCOUNT INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK",No
APP INFORMATION,BEHAVIOR ON DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
BEHAVIOR ON DEVICES,BEHAVIOR ON DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CAMERA INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CONTACTS' INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,
CURRENT LOCATION,LOCATION FROM DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
CUSTOMER SERVICE COMMUNICATIONS,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE",
DATE OF BIRTH,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE IDENTIFIERS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE",
DEVICE INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE SETTINGS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DEVICE SIGNALS,DEVICE SIGNALS,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
DRIVER'S LICENSE NUMBER,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,
IP ADDRESS,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOCATION HISTORY,LOCATION FROM DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
LOGIN INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NAME,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK",No
NEARBY LOCATIONS AND PEOPLE,LOCATION FROM DEVICE,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NETWORK INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK,GOOGLE",No
NON-PERSONAL DATA,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"AMAZON,APPLE,FACEBOOK",No
PAYMENT CARD INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,AMAZON,
